Name,Membership,Location,Reputation,Reached,Answers,Questions,Gold Badges,Silver Badges,Bronze Badges,Tags,Profile Link
markdorison,"15 years, 2 months",United States,"145,384",9.4m,14,39,27,56,71,"drupal 15,drupal-views 15,git 11,ios 6,cocoa-touch 1,ios6 1,",https://stackoverflow.com/users/97101/markdorison
flimm,"14 years, 6 months",,"145,158",24.5m,305,112,48,265,281,"python 6,304,css 1,416,git 981,django 704,javascript 682,shell 467,",https://stackoverflow.com/users/247696/flimm
digitalross,15 years,"Denver, CO, United States","145,148",32.3m,"1,942",1,,,,"ruby 4,448,c 2,934,bash 1,605,linux 1,530,c++ 996,ruby-on-rails 828,",https://stackoverflow.com/users/140740/digitalross
mario,"14 years, 2 months",Europe,"145,075",20.1m,"2,454",26,,,,"php 12,364,regex 1,285,string 961,arrays 719,mysql 458,apache 390,",https://stackoverflow.com/users/345031/mario
tarun lalwani,"10 years, 9 months",,"145,447",8.5m,"1,785",9,,,,"docker 3,347,python 1,418,docker-compose 951,javascript 871,nginx 856,selenium 688,",https://stackoverflow.com/users/2830850/tarun-lalwani
adathedev,15 years,United Kingdom,"145,758",22.8m,"1,127",13,,,,"sql-server 7,571,sql 7,024,t-sql 4,757,mongodb 1,986,sql-server-2005 1,154,sql-server-2008 1,092,",https://stackoverflow.com/users/135531/adathedev
charles bretana,"15 years, 8 months","Prescott, AZ, USA","145,597",26.9m,"2,096",44,,,,"sql 3,966,sql-server 2,784,c# 2,319,t-sql 1,339,sql-server-2005 922,.net 728,",https://stackoverflow.com/users/32632/charles-bretana
the alpha,"13 years, 2 months","Sylhet, Bangladesh","145,673",23.7m,"3,148",16,,,,"php 6,030,laravel 5,647,laravel-4 2,558,javascript 2,530,jquery 2,067,eloquent 1,667,",https://stackoverflow.com/users/741747/the-alpha
apc,"14 years, 11 months","London, United Kingdom","145,505",28.2m,"3,951",0,,,,"oracle 10,839,sql 5,800,plsql 3,148,database 1,233,oracle11g 811,oracle10g 624,",https://stackoverflow.com/users/146325/apc
naftali,"13 years, 6 months","Brooklyn, NY","145,819",22.0m,"2,572",100,,,,"javascript 5,088,jquery 4,107,php 2,343,html 1,547,arrays 503,css 379,",https://stackoverflow.com/users/561731/naftali
alex s,"15 years, 10 months",,"145,938",5.7m,27,41,,,,"django 13,java 13,python 9,javascript 8,database 7,sql 5,",https://stackoverflow.com/users/18300/alex-s
robg,"14 years, 5 months",,"145,929",29.3m,"4,588",10,31,176,212,"javascript 12,186,date 3,478,jquery 2,194,html 1,299,datetime 766,arrays 610,",https://stackoverflow.com/users/257182/robg
hotkey,"11 years, 3 months",,"145,935",7.4m,714,34,,,,"kotlin 12,990,java 2,039,android 1,714,list 1,187,generics 998,gradle 530,",https://stackoverflow.com/users/2196460/hotkey
fabien m%c3%a9nager,"15 years, 3 months",France,"140,095",12.8m,199,7,,,,"javascript 1,200,php 161,html 149,dompdf 118,canvas 75,jquery 61,",https://stackoverflow.com/users/92315/fabien-m%c3%a9nager
puppy,"14 years, 3 months",,"146,078",15.8m,"3,447",385,40,262,476,"c++ 10,254,c++11 2,533,c 929,templates 756,stl 462,pointers 368,",https://stackoverflow.com/users/298661/puppy
esailija,"12 years, 9 months","Helsinki, Finland","139,617",15.9m,"2,264",3,,,,"javascript 8,488,jquery 2,973,html 1,391,node.js 1,186,promise 1,147,php 711,",https://stackoverflow.com/users/995876/esailija
m m,12 years,New Zealand,"140,372",9.5m,"3,632",190,,,,"c++ 6,711,c 4,703,pointers 1,371,c++11 1,274,arrays 1,130,language-lawyer 940,",https://stackoverflow.com/users/1505939/m-m
johnsyweb,"15 years, 4 months",🌏,"140,206",31.9m,"1,076",7,,,,"python 4,592,linux 2,692,unix 2,453,vim 1,542,c++ 1,230,regex 649,",https://stackoverflow.com/users/78845/johnsyweb
rakib,"11 years, 3 months","Dhaka, Bangladesh","140,761",11.8m,162,0,,,,"linux 13,910,linux-kernel 102,c 86,shell 27,bash 24,unix 23,",https://stackoverflow.com/users/2231815/rakib
vcsjones,"13 years, 8 months","Alexandria, VA","140,587",12.0m,"1,268",25,,,,"c# 6,030,asp.net 1,611,.net 1,441,git 572,javascript 536,asp.net-mvc 508,",https://stackoverflow.com/users/492405/vcsjones
andy turner,10 years,"London, United Kingdom","139,538",5.9m,"3,841",19,11,166,255,"java 11,346,generics 1,094,java-8 1,051,java-stream 970,multithreading 692,arrays 531,",https://stackoverflow.com/users/3788176/andy-turner
ghostcat,12 years,Germany,"139,649",8.9m,"4,535",141,,,,"java 9,705,java-8 1,004,junit 971,mockito 936,unit-testing 654,multithreading 626,",https://stackoverflow.com/users/1531124/ghostcat
jon clements,"12 years, 4 months",,"141,154",19.3m,"2,389",6,34,252,284,"python 12,852,python-3.x 1,638,list 1,380,python-2.7 770,string 733,pandas 639,",https://stackoverflow.com/users/1252759/jon-clements
paul,"13 years, 1 month",Canada,"141,056",20.7m,"2,457",19,27,280,268,"javascript 6,645,php 2,619,jquery 1,674,regex 1,010,node.js 867,html 742,",https://stackoverflow.com/users/772035/paul
laurence gonsalves,"15 years, 3 months",California,"141,211",24.4m,831,81,,,,"java 3,202,vim 2,974,regex 1,196,python 1,064,c 993,bash 691,",https://stackoverflow.com/users/90848/laurence-gonsalves
tadeck,"13 years, 7 months","Warsaw, Poland","135,902",19.6m,951,21,,,,"python 4,131,javascript 2,596,jquery 1,045,php 791,django 674,html 284,",https://stackoverflow.com/users/548696/tadeck
darrel miller,"15 years, 10 months","Montreal, Canada","141,160",24.5m,"1,393",24,,,,"rest 5,981,asp.net-web-api 2,133,c# 2,077,http 2,002,web-services 1,212,dotnet-httpclient 1,062,",https://stackoverflow.com/users/6819/darrel-miller
rick james,"11 years, 8 months",California,"140,163",15.8m,"10,322",5,,,,"mysql 7,846,sql 1,461,mariadb 1,427,performance 1,052,database 1,048,indexing 1,013,",https://stackoverflow.com/users/1766831/rick-james
furas,"11 years, 8 months","Torun, Poland","141,417",10.6m,"6,845",0,,,,"python 7,800,tkinter 1,716,python-3.x 1,259,pygame 771,pandas 576,web-scraping 471,",https://stackoverflow.com/users/1832058/furas
jonathon reinhart,"15 years, 1 month",,"135,920",14.6m,"1,843",81,,,,"c 4,123,python 3,444,c++ 2,502,assembly 2,206,c# 1,468,linux 739,",https://stackoverflow.com/users/119527/jonathon-reinhart
colonel panic,"14 years, 4 months","Cambridge, UK","136,139",58.1m,441,300,,,,"python 3,555,c# 3,069,.net 759,visual-studio 444,git 444,algorithm 411,",https://stackoverflow.com/users/284795/colonel-panic
t c,"10 years, 10 months",Earth,"136,229",3.3m,"1,782",16,17,295,429,"c++ 12,200,c++11 5,675,templates 2,230,c++14 1,625,c++17 1,449,language-lawyer 1,383,",https://stackoverflow.com/users/2756719/t-c
chrisf,"15 years, 5 months",♦,"136,434",18.8m,"2,484",47,,,,"c# 7,595,wpf 2,343,.net 2,063,winforms 892,asp.net 869,xaml 739,",https://stackoverflow.com/users/59303/chrisf
gareth,"15 years, 8 months","London, United Kingdom","136,764",16.2m,533,23,,,,"javascript 5,004,git 3,986,jquery 2,337,ruby 2,127,html 1,185,ruby-on-rails 773,",https://stackoverflow.com/users/31582/gareth
simon mourier,"13 years, 11 months","Paris, France","136,455",18.4m,"2,002",0,,,,"c# 5,686,.net 2,283,html-agility-pack 870,windows 791,winforms 772,c++ 770,",https://stackoverflow.com/users/403671/simon-mourier
littlefoot,"6 years, 7 months","Croatia, Europe","140,944",5.9m,"9,711",0,,,,"oracle 7,940,sql 4,292,plsql 2,370,oracle-apex 1,117,oracle11g 862,oracle-sqldeveloper 499,",https://stackoverflow.com/users/9097906/littlefoot
potatoswatter,"14 years, 11 months",,"136,811",13.5m,"2,290",112,,,,"c++ 9,788,c++11 2,291,c 2,109,stl 947,templates 922,algorithm 389,",https://stackoverflow.com/users/153285/potatoswatter
jonas wilms,"8 years, 10 months","Karlsruhe, Deutschland","136,477",13.0m,"4,758",4,,,,"javascript 10,638,ecmascript-6 2,062,reactjs 1,920,typescript 1,591,node.js 1,416,arrays 1,132,",https://stackoverflow.com/users/5260024/jonas-wilms
donal fellows,"14 years, 3 months","Manchester, United Kingdom","136,301",16.7m,"4,155",4,,,,"tcl 5,815,java 1,289,tk-toolkit 729,python 529,sqlite 517,expect 427,",https://stackoverflow.com/users/301832/donal-fellows
%cf%81%d1%8f%cf%83%d1%95%cf%81%d1%94%d1%8f k,"12 years, 5 months",India,"132,776",12.6m,"2,930",5,,,,"android 10,639,java 1,859,android-intent 1,005,android-fragments 952,android-activity 730,json 640,",https://stackoverflow.com/users/1202025/%cf%81%d1%8f%cf%83%d1%95%cf%81%d1%94%d1%8f-k
walker,"14 years, 1 month","Providence, RI","132,673",14.6m,4,116,,,,"html 4,css 3,php 1,javascript 0,codeigniter 0,jquery 0,",https://stackoverflow.com/users/364969/walker
antti haapala %d0%a1%d0%bb%d0%b0%d0%b2%d0%b0 %d0%a3%d0%ba%d1%80%d0%b0%d1%97%d0%bd%d1%96,"12 years, 10 months","Oulu, Finland","132,700",23.3m,"2,416",19,,,,"python 6,698,c 4,438,python-3.x 1,661,gcc 528,c++ 443,python-2.7 438,",https://stackoverflow.com/users/918959/antti-haapala-%d0%a1%d0%bb%d0%b0%d0%b2%d0%b0-%d0%a3%d0%ba%d1%80%d0%b0%d1%97%d0%bd%d1%96
martin thoma,"13 years, 6 months","München, Deutschland","132,804",65.9m,851,694,,,,"python 5,298,machine-learning 899,keras 584,pdf 419,deep-learning 364,neural-network 330,",https://stackoverflow.com/users/562769/martin-thoma
jack,"15 years, 1 month",Italy,"132,949",17.7m,"2,528",144,,,,"java 5,264,c++ 2,018,c 1,343,string 805,swing 534,pointers 507,",https://stackoverflow.com/users/121747/jack
alex mamo,"8 years, 11 months","Constanța, Romania","136,940",7.5m,"5,075",69,,,,"firebase 7,768,android 5,957,google-cloud-firestore 4,724,java 3,718,firebase-realtime-database 2,521,google-cloud-platform 1,260,",https://stackoverflow.com/users/5246885/alex-mamo
jim mischel,"15 years, 6 months","Austin, TX","132,616",13.2m,"3,397",31,22,192,356,"c# 5,862,algorithm 2,320,.net 1,658,multithreading 1,227,data-structures 884,sorting 620,",https://stackoverflow.com/users/56778/jim-mischel
mbyd,"13 years, 9 months",Israel,"136,794",20.8m,"2,356",33,,,,"java 5,731,android 3,873,c 2,674,objective-c 696,arrays 625,string 447,",https://stackoverflow.com/users/464988/mbyd
justin ethier,"15 years, 2 months","Baltimore, MD","133,147",21.0m,"1,454",64,,,,"javascript 2,030,jquery 1,857,jqgrid 947,python 624,c++ 534,c# 398,",https://stackoverflow.com/users/101258/justin-ethier
mulan,"13 years, 4 months",,"133,412",29.3m,"2,312",97,32,234,271,"javascript 8,150,ecmascript-6 2,294,reactjs 1,732,functional-programming 1,608,node.js 1,530,recursion 987,",https://stackoverflow.com/users/633183/mulan
satpal,"11 years, 10 months","Delhi, India","133,150",11.8m,"4,094",4,13,163,170,"javascript 6,529,jquery 6,247,html 2,473,angularjs 957,c# 879,css 736,",https://stackoverflow.com/users/1668533/satpal
raghunandan,"13 years, 4 months","India, Bangaluru","133,290",18.2m,"2,929",9,,,,"android 10,670,java 1,752,android-fragments 1,131,listview 716,android-layout 628,eclipse 401,",https://stackoverflow.com/users/653856/raghunandan
cassiomolin,"12 years, 1 month","Dublin, Ireland","128,806",10.8m,"1,124",25,,,,"java 5,604,rest 4,537,jax-rs 2,828,http 2,022,jackson 1,227,json 1,145,",https://stackoverflow.com/users/1426227/cassiomolin
arshajii,"12 years, 2 months","Cambridge, MA, United States","128,861",16.0m,"1,606",28,26,243,291,"java 8,542,python 3,151,string 1,780,list 1,357,regex 818,python-3.x 544,",https://stackoverflow.com/users/1357341/arshajii
jeff mercado,14 years,"Irvine, CA, USA","133,073",15.0m,"2,006",31,,,,"c# 4,328,jq 2,315,json 2,218,python 1,433,linq 1,331,.net 1,060,",https://stackoverflow.com/users/390278/jeff-mercado
roman,"14 years, 6 months",,"129,129",26.0m,27,621,172,362,461,"python 63,java 58,user-interface 57,swing 57,c++ 53,pandas 28,",https://stackoverflow.com/users/245549/roman
scaisedge,"10 years, 3 months","Gandellino, Italy","132,987",7.6m,"8,307",1,,,,"mysql 3,629,sql 2,512,php 2,228,yii2 1,966,google-maps 652,oracle 405,",https://stackoverflow.com/users/3522312/scaisedge
david hedlund,15 years,"Falkenberg, Sweden","129,389",22.8m,"1,653",24,,,,"jquery 5,385,javascript 4,744,html 2,112,android 1,197,c# 995,css 559,",https://stackoverflow.com/users/133802/david-hedlund
sasha chedygov,"15 years, 2 months","Portland, OR","129,673",9.7m,195,32,,,,"python 4,142,css 2,943,html 2,932,jquery 2,910,javascript 2,235,php 828,",https://stackoverflow.com/users/104184/sasha-chedygov
llogan,"12 years, 6 months",Alaska,"129,540",9.9m,"1,506",0,29,247,257,"ffmpeg 11,322,video 4,507,audio 2,198,video-processing 682,linux 239,mp4 218,",https://stackoverflow.com/users/1109017/llogan
user225312,"14 years, 7 months",,"130,135",24.7m,232,100,71,174,182,"python 7,301,string 2,277,list 2,159,lxml 151,class 92,c++ 84,",https://stackoverflow.com/users/225312/user225312
mick maccallum,"13 years, 2 months","Fort Myers, FL, United States","129,925",8.8m,"1,172",17,40,281,281,"swift 6,638,ios 6,553,objective-c 2,451,iphone 1,386,xcode 1,171,ipad 543,",https://stackoverflow.com/users/716216/mick-maccallum
davidxxx,"14 years, 5 months",,"129,688",20.6m,"3,016",10,,,,"java 9,516,spring 2,143,spring-boot 2,001,junit 1,831,maven 1,326,mockito 817,",https://stackoverflow.com/users/270371/davidxxx
sulthan,"13 years, 3 months","Praha, Czech Republic","129,446",8.7m,"2,241",9,,,,"swift 6,245,ios 4,419,objective-c 2,095,xcode 1,002,reactjs 840,swift3 563,",https://stackoverflow.com/users/669586/sulthan
dbenham,"12 years, 8 months",U.S. East Coast,"129,539",20.6m,"2,327",15,,,,"batch-file 9,702,windows 4,348,cmd 3,961,command-line 628,findstr 587,dos 299,",https://stackoverflow.com/users/1012053/dbenham
georg sch%c3%b6lly,"15 years, 9 months",Schweiz,"125,498",17.5m,592,115,53,222,273,"objective-c 2,689,python 2,602,javascript 2,059,cocoa 889,c 883,iphone 410,",https://stackoverflow.com/users/24587/georg-sch%c3%b6lly
davidism,"13 years, 11 months","San Diego, CA","125,611",10.1m,"1,121",0,,,,"python 10,384,flask 8,486,sqlalchemy 2,123,flask-sqlalchemy 1,027,alembic 832,jinja2 758,",https://stackoverflow.com/users/400617/davidism
gnovice,"15 years, 6 months","Hamilton, Ohio, USA","125,634",16.5m,"1,834",4,,,,"matlab 10,178,matrix 2,032,plot 992,function 711,arrays 692,image-processing 535,",https://stackoverflow.com/users/52738/gnovice
rickster,"12 years, 10 months",Silicon Valley,"125,674",8.1m,"1,376",9,,,,"swift 7,442,ios 4,208,scenekit 1,350,objective-c 1,228,arkit 1,042,xcode 849,",https://stackoverflow.com/users/957768/rickster
andrew whitaker,"13 years, 8 months","South Carolina, USA","125,652",12.5m,"1,488",3,32,292,307,"jquery 6,692,javascript 3,451,jquery-ui 3,191,jquery-ui-autocomplete 2,042,c# 1,743,autocomplete 1,370,",https://stackoverflow.com/users/497356/andrew-whitaker
anthony pegram,"14 years, 4 months","Charlotte, NC","125,794",16.0m,"1,094",8,,,,"c# 10,959,.net 2,202,linq 2,159,arrays 1,208,list 846,asp.net 545,",https://stackoverflow.com/users/414076/anthony-pegram
andy prowl,"11 years, 6 months",,"125,746",10.5m,"1,534",35,,,,"c++ 13,484,c++11 6,132,templates 2,634,stl 681,pointers 552,vector 480,",https://stackoverflow.com/users/1932150/andy-prowl
nathan fellman,"15 years, 11 months",Israel,"125,884",17.4m,441,173,,,,"vim 1,270,c 741,linux 524,assembly 468,perl 405,x86 403,",https://stackoverflow.com/users/1084/nathan-fellman
forrest,"14 years, 3 months","Shanghai, China","125,983",6.2m,24,160,,,,"ios 27,ipad 2,xcode 1,objective-c 0,ios4 0,ios5 0,",https://stackoverflow.com/users/338204/forrest
matteo italia,"14 years, 8 months","Milan, Italy","125,829",10.3m,"1,840",25,,,,"c++ 7,239,c 3,369,python 656,windows 611,assembly 436,pointers 400,",https://stackoverflow.com/users/214671/matteo-italia
vsync,"15 years, 2 months",Israel,"126,257",46.8m,721,159,,,,"javascript 8,434,css 2,523,reactjs 1,496,html 1,445,jquery 1,402,dom 546,",https://stackoverflow.com/users/104380/vsync
mrry,"10 years, 2 months","Silicon Valley, CA","126,036",10.3m,"1,070",3,,,,"tensorflow 11,203,python 6,376,tensorflow-datasets 820,neural-network 682,machine-learning 676,deep-learning 643,",https://stackoverflow.com/users/3574081/mrry
katriel,"13 years, 11 months",UK,"122,580",21.3m,825,8,,,,"python 11,643,list 1,064,python-3.x 865,numpy 373,string 232,dictionary 178,",https://stackoverflow.com/users/398968/katriel
you,"14 years, 8 months",,"122,739",27.5m,"1,006",32,,,,"python 6,363,string 1,325,javascript 1,082,regex 918,ruby 820,php 396,",https://stackoverflow.com/users/213464/you
orion edwards,"15 years, 11 months",New Zealand,"122,858",17.0m,583,141,,,,"c# 3,665,ruby 1,167,ruby-on-rails 883,c++ 659,.net 561,wpf 554,",https://stackoverflow.com/users/234/orion-edwards
caleb,"13 years, 4 months",United States,"124,740",8.4m,"3,451",16,,,,"ios 5,198,objective-c 3,874,iphone 1,953,cocoa-touch 1,708,xcode 1,312,swift 626,",https://stackoverflow.com/users/643383/caleb
peter niederwieser,"15 years, 3 months",Austria,"123,226",10.7m,"1,360",1,,,,"gradle 9,808,java 1,815,groovy 1,463,spock 832,build.gradle 792,build 696,",https://stackoverflow.com/users/84889/peter-niederwieser
gordon davisson,"15 years, 3 months",,"123,290",12.1m,"1,521",0,16,132,161,"bash 8,824,macos 2,479,shell 1,556,linux 627,terminal 452,unix 281,",https://stackoverflow.com/users/89817/gordon-davisson
lhunath,"15 years, 5 months","Ottawa, ON, Canada","123,338",8.5m,92,21,,,,"bash 12,274,linux 4,604,unix 2,304,macos 2,261,shell 2,034,scripting 1,208,",https://stackoverflow.com/users/58803/lhunath
clodoaldo neto,15 years,"Brasilia, Brazil","123,286",14.1m,"2,084",99,27,243,268,"postgresql 9,564,sql 4,099,python 991,psycopg2 888,mysql 645,database 569,",https://stackoverflow.com/users/131874/clodoaldo-neto
aku,"15 years, 11 months","Moscow, Russia","123,400",24.6m,456,24,,,,"c# 3,711,sql 3,513,.net 3,120,winforms 871,xml 731,database 475,",https://stackoverflow.com/users/1196/aku
chaos,"15 years, 7 months",,"123,475",37.5m,"1,293",22,33,305,310,"php 2,084,mysql 1,580,regex 1,436,javascript 1,232,sql 1,117,html 849,",https://stackoverflow.com/users/47529/chaos
radim k%c3%b6hler,"11 years, 10 months","Prague, Czech Republic","123,421",9.7m,"2,229",1,,,,"angularjs 4,878,angular-ui-router 4,205,javascript 2,611,nhibernate 1,920,typescript 1,742,c# 1,404,",https://stackoverflow.com/users/1679310/radim-k%c3%b6hler
janos,"13 years, 4 months",Switzerland,"123,534",13.3m,"2,448",37,,,,"bash 2,541,git 2,429,java 1,750,linux 1,204,shell 1,128,python 608,",https://stackoverflow.com/users/641955/janos
jonathan lonowski,"15 years, 10 months","Omaha, NE","122,865",15.6m,"1,193",11,34,201,202,"javascript 5,710,node.js 3,494,express 1,299,jquery 995,json 586,arrays 575,",https://stackoverflow.com/users/15031/jonathan-lonowski
creativecreatorormaybenot,8 years,,"123,598",7.6m,500,172,63,310,421,"flutter 7,438,dart 7,294,flutter-layout 477,firebase 468,google-cloud-firestore 364,android 321,",https://stackoverflow.com/users/6509751/creativecreatorormaybenot
psl,"12 years, 8 months","New York, United States","123,620",11.3m,"2,146",5,,,,"javascript 5,567,jquery 4,081,angularjs 3,883,html 2,489,css 1,715,twitter-bootstrap 972,",https://stackoverflow.com/users/1009603/psl
richie cotton,15 years,"Union City, NJ, USA","120,456",15.7m,"1,034",112,,,,"r 8,246,ggplot2 908,dataframe 710,regex 472,plot 386,matlab 212,",https://stackoverflow.com/users/134830/richie-cotton
aleksei matiushkin,"11 years, 5 months","Spain, Barcelona","120,278",4.2m,"4,072",58,,,,"ruby 6,190,elixir 3,241,ruby-on-rails 1,454,phoenix-framework 597,arrays 588,hash 367,",https://stackoverflow.com/users/2035262/aleksei-matiushkin
leftaroundabout,"13 years, 2 months",Stockholm. Sweden,"120,371",2.5m,"1,959",89,,,,"haskell 9,700,functional-programming 1,105,types 796,monads 702,typeclass 485,list 370,",https://stackoverflow.com/users/745903/leftaroundabout
pshemo,"12 years, 2 months",Poland,"123,765",16.5m,"2,352",4,,,,"java 10,434,regex 1,967,arrays 1,678,string 1,148,java-8 817,split 627,",https://stackoverflow.com/users/1393766/pshemo
tamas czinege,"15 years, 10 months","New York, NY, United States","120,650",20.0m,428,32,,,,"c# 3,488,html 2,034,.net 1,681,css 1,424,jquery 964,javascript 917,",https://stackoverflow.com/users/8954/tamas-czinege
george mauer,"15 years, 10 months",United States,"120,722",18.3m,375,722,,,,"c# 507,powershell 342,javascript 249,.net 206,asp.net-mvc 154,asp.net 153,",https://stackoverflow.com/users/5056/george-mauer
benjamin pasero,"9 years, 2 months","Zurich, Switzerland","120,370",7.7m,89,1,,,,"visual-studio-code 11,865,editor 2,029,configuration 1,714,regex 809,git 696,macos 91,",https://stackoverflow.com/users/4851043/benjamin-pasero
spoike,"15 years, 10 months","Lund, Sweden","121,044",10.2m,213,67,,,,"java 1,158,c# 364,version-control 165,javascript 154,git 111,unit-testing 93,",https://stackoverflow.com/users/3713/spoike
steffen ullrich,"10 years, 7 months",Germany,"120,753",14.8m,"3,738",0,,,,"ssl 4,951,sockets 1,430,python 1,276,perl 1,144,tcp 925,https 888,",https://stackoverflow.com/users/3081018/steffen-ullrich
josh david miller,"14 years, 5 months",California,"120,513",5.0m,133,2,,,,"angularjs 12,980,javascript 8,194,angularjs-ng-repeat 1,668,angularjs-directive 1,184,angularjs-scope 562,html 352,",https://stackoverflow.com/users/259038/josh-david-miller
joe,"15 years, 10 months",,"123,785",18.8m,"1,979",107,33,209,340,"c# 7,699,.net 5,091,asp.net 2,023,excel 609,vba 400,asp.net-mvc 371,",https://stackoverflow.com/users/13087/joe
fge,"12 years, 7 months",,"120,964",15.4m,"2,208",194,,,,"java 7,675,regex 1,593,json 617,linux 527,string 351,file 249,",https://stackoverflow.com/users/1093528/fge
simeon visser,"12 years, 4 months","London, United Kingdom","121,252",16.6m,"1,242",2,,,,"python 9,254,list 2,507,django 1,761,java 614,python-3.x 603,string 600,",https://stackoverflow.com/users/1267329/simeon-visser
agstudy,"11 years, 7 months",,"121,118",15.3m,"2,304",69,,,,"r 9,923,ggplot2 1,923,plot 1,108,dataframe 676,matrix 324,regex 239,",https://stackoverflow.com/users/1838509/agstudy
nenad vracar,"9 years, 4 months",Serbia,"121,207",10.3m,"2,808",20,,,,"javascript 5,849,css 4,301,html 3,345,arrays 2,401,flexbox 1,432,ecmascript-6 1,263,",https://stackoverflow.com/users/4620771/nenad-vracar
yuji tomita tomita,"14 years, 5 months","New York, NY","117,768",9.0m,"1,064",69,,,,"django 9,333,python 3,980,django-models 1,309,django-forms 1,109,django-views 925,django-templates 764,",https://stackoverflow.com/users/267887/yuji-tomita-tomita
sinan %c3%9cn%c3%bcr,"15 years, 2 months",USA / TR,"117,724",14.0m,"2,153",33,,,,"perl 7,804,regex 985,html 888,c 811,arrays 501,string 312,",https://stackoverflow.com/users/100754/sinan-%c3%9cn%c3%bcr
devart,"15 years, 2 months","Prague, Czech Republic","120,802",23.7m,"2,827",0,,,,"mysql 5,693,sql 3,305,sql-server 3,224,t-sql 933,sql-server-2008 779,c# 758,",https://stackoverflow.com/users/135566/devart
jtbandes,"15 years, 9 months","Seattle, WA","117,831",7.0m,"1,234",71,,,,"swift 3,144,ios 2,320,ruby 1,830,objective-c 1,814,iphone 1,148,xcode 439,",https://stackoverflow.com/users/23649/jtbandes
seth ladd,"15 years, 1 month","Mountain View, CA","117,881",6.8m,236,160,,,,"dart 5,595,flutter 1,914,dart-io 86,dart-webui 61,dart-polymer 56,html 54,",https://stackoverflow.com/users/123471/seth-ladd
arup rakshit,"11 years, 8 months","Kolkata, West Bengal, India","117,805",8.9m,"2,644",249,,,,"ruby 7,904,ruby-on-rails 2,388,arrays 1,318,hash 631,ruby-on-rails-4 376,javascript 265,",https://stackoverflow.com/users/2767755/arup-rakshit
brian,"15 years, 10 months",United Kingdom,"118,403",21.7m,241,0,,,,"python 10,054,string 4,104,python-2.x 770,algorithm 395,dictionary 232,iterator 217,",https://stackoverflow.com/users/9493/brian
n m could be an ai,"13 years, 1 month",,"118,205",5.1m,"3,214",93,,,,"c++ 5,121,c 2,161,haskell 885,linux 769,c++11 714,templates 634,",https://stackoverflow.com/users/775806/n-m-could-be-an-ai
e james,"15 years, 8 months",Canada,"118,458",11.6m,562,71,,,,"objective-c 2,377,cocoa 1,470,iphone 973,c++ 957,c 329,excel 283,",https://stackoverflow.com/users/33686/e-james
mob,"14 years, 10 months","San Francisco, CA","118,223",10.7m,"2,052",13,,,,"perl 7,527,shell 1,387,bash 1,299,regex 559,linux 551,arrays 535,",https://stackoverflow.com/users/168657/mob
arun,"13 years, 6 months",,"118,271",12.7m,"1,303",18,28,287,391,"r 10,645,data.table 3,936,ggplot2 1,637,dataframe 1,274,dplyr 587,reshape 374,",https://stackoverflow.com/users/559784/arun
brian,"15 years, 10 months","Bellevue, WA","118,489",6.3m,"1,379",1,,,,"f# 6,008,.net 2,112,c# 1,785,functional-programming 1,670,visual-studio 846,msbuild 394,",https://stackoverflow.com/users/19299/brian
i3arnon,"12 years, 11 months","Tel Aviv, Israel","115,318",7.1m,902,28,,,,"c# 9,891,.net 6,492,async-await 5,078,task-parallel-library 3,604,asynchronous 1,683,mongodb 1,505,",https://stackoverflow.com/users/885318/i3arnon
cerise lim%c3%b3n,"9 years, 9 months","Boulder, CO","118,650",7.0m,"1,601",0,13,271,259,"go 9,918,json 928,struct 678,http 450,websocket 348,slice 333,",https://stackoverflow.com/users/5728991/cerise-lim%c3%b3n
apneadiving,"14 years, 1 month","Nice, France","115,273",5.3m,"1,753",42,,,,"ruby-on-rails 9,207,ruby 5,653,ruby-on-rails-3 4,938,rspec 1,317,activerecord 643,gmaps4rails 637,",https://stackoverflow.com/users/350087/apneadiving
staxman,"15 years, 5 months","Seattle, WA","115,446",27.4m,"1,444",26,,,,"java 7,442,json 7,344,jackson 6,947,serialization 783,deserialization 400,xml 360,",https://stackoverflow.com/users/59501/staxman
thomas owens,"15 years, 11 months","Rochester, NY, United States","115,481",27.3m,461,236,,,,"java 833,php 511,c 321,design-patterns 228,c++ 213,eclipse 99,",https://stackoverflow.com/users/572/thomas-owens
lc,"15 years, 7 months",Japan,"115,538",16.2m,"1,623",25,20,160,188,"c# 5,119,sql 1,457,sql-server 989,mysql 937,.net 605,sql-server-2008 593,",https://stackoverflow.com/users/44853/lc
orlp,"13 years, 6 months","Leiden, Netherlands","115,266",17.1m,"1,470",159,,,,"python 3,479,c++ 2,757,c 1,516,list 1,135,algorithm 324,rust 313,",https://stackoverflow.com/users/565635/orlp
goleztrol,"13 years, 8 months",Netherlands,"115,498",16.6m,"3,411",20,,,,"php 2,112,css 1,662,html 1,591,mysql 1,289,sql 1,215,javascript 1,033,",https://stackoverflow.com/users/511529/goleztrol
p%c3%a9ter t%c3%b6r%c3%b6k,"14 years, 5 months","Turku, Finland","115,652",15.4m,"1,503",18,,,,"java 6,364,c++ 1,791,unit-testing 993,c 624,junit 533,design-patterns 439,",https://stackoverflow.com/users/265143/p%c3%a9ter-t%c3%b6r%c3%b6k
l b,"13 years, 8 months",,"115,584",13.2m,"1,872",0,20,183,226,"c# 9,727,json 2,497,.net 1,861,json.net 1,573,xml 851,linq 757,",https://stackoverflow.com/users/932418/l-b
